cutoff,start,end,startT,endT,dur,xpos,ypos,flankdataloss,fracinterped,RMSxy,BCEA,fixRangeX,fixRangeY,participant
0.9535217057796384,0,278,-744.4,371.7,1116.1,1051.5,-85.5,0.0,0.0,0.523190544224234,0.8475301477602676,1.9752403578964433,2.0336794217395333,134_leap_voe_gaze
0.9535217057796384,286,1315,399.7,4519.7,4120.0,947.0,406.0,1.0,0.0,0.9028903872405971,3.414132398767524,3.9738563413301224,5.586774503399408,134_leap_voe_gaze
0.9535217057796384,1363,1481,4707.7,5183.7,476.0,779.5,606.0,1.0,0.03361344537815126,1.5140936972992447,4.802093019911317,2.898577566617266,5.45820856294461,134_leap_voe_gaze
0.9535217057796384,1488,1776,5207.7,6363.7,1156.0,995.0,448.0,1.0,0.0,1.1373485679730528,4.654001351204258,4.254363847776955,5.259515745878104,134_leap_voe_gaze
0.9535217057796384,1838,1871,6607.7,6743.7,136.0,973.0,548.0,1.0,0.14705882352941177,1.6093729857125427,4.749087707824297,3.2492119496758063,3.8803538391811787,134_leap_voe_gaze
0.9535217057796384,1877,1941,6763.7,7023.7,260.0,1031.0,771.0,1.0,0.46153846153846156,3.2848342549660945,12.906272846349141,3.8803538391811787,8.62560582324009,134_leap_voe_gaze
0.9535217057796384,2023,2155,7347.7,7879.7,532.0,298.0,334.0,0.0,0.0,1.074781561988359,2.4178444616361086,2.6881969367821417,3.4011535156678403,134_leap_voe_gaze
0.9535217057796384,2157,2370,7883.7,8739.7,856.0000000000009,235.0,380.25,0.0,0.0,0.8017193703174782,1.1807171301467305,1.9168012940533532,2.980392255997592,134_leap_voe_gaze
0.9535217057796384,2379,2435,8771.7,8999.7,228.0,278.5,160.0,0.0,0.0,0.797878975504375,1.5322506432104102,1.6129181620692852,2.6998847495507596,134_leap_voe_gaze
0.9535217057796384,2443,2484,9027.7,9195.6,167.89999999999964,242.0,33.5,0.0,0.0,0.6036986477614965,0.8498909558298791,1.425913157771397,1.8817378557474993,134_leap_voe_gaze
0.9535217057796384,2498,2570,9247.6,9539.6,292.0,1069.0,557.0,0.0,0.1643835616438356,1.2156022032846991,3.1696767899210743,3.0154556943034434,3.599846332734346,134_leap_voe_gaze
0.9535217057796384,2576,2649,9559.6,9855.6,296.0,1009.9999999999999,688.0,0.0,0.4189189189189189,1.7328476250657798,6.533427064571921,4.1141100945535385,4.955632613894036,134_leap_voe_gaze
0.9535217057796384,2656,2749,9879.6,10255.6,376.0,533.25,569.5,0.0,0.10638297872340426,1.109023718329195,2.65571571832908,3.0972703836837723,3.436216953973694,134_leap_voe_gaze
0.9535217057796384,2756,2860,10279.6,10699.6,420.0,433.5,489.0,1.0,0.11428571428571428,1.2366443616718523,2.6432572553435936,3.120646009221008,3.7634757114949986,134_leap_voe_gaze
0.9535217057796384,2867,2955,10723.6,11079.6,356.0,695.0,323.0,0.0,0.02247191011235955,1.4328073326654571,3.794875751331179,3.8569782136439428,3.553095081659873,134_leap_voe_gaze
0.9535217057796384,2959,3064,11091.6,11515.6,424.0,781.5,321.5,0.0,0.009433962264150943,1.2128285139323411,2.7102243988391637,2.8050750644683218,4.0907344690163026,134_leap_voe_gaze
0.9535217057796384,3066,3174,11519.6,11955.6,436.0,733.5,256.5,0.0,0.01834862385321101,1.079449007816858,2.192692771366025,2.5362553707901077,4.569934792529641,134_leap_voe_gaze
0.9535217057796384,3181,3253,11979.6,12271.6,292.0,562.25,186.5,0.0,0.1780821917808219,1.4136410194060751,4.241933952397718,4.11411009455354,5.025759490505743,134_leap_voe_gaze
0.9535217057796384,3260,3584,12295.6,13595.6,1300.0,471.0,311.5,1.0,0.28615384615384615,1.4691108562917121,6.0365735467120984,5.5166476267877,6.451672648277141,134_leap_voe_gaze
0.9535217057796384,3913,4171,14907.6,15943.6,1036.0,517.5,349.0,1.0,0.13127413127413126,1.3933352491005526,3.8941698396424185,3.8569782136439428,4.979008239431272,134_leap_voe_gaze
0.9535217057796384,4177,4324,15963.6,16555.6,591.9999999999982,434.5,373.0,0.0,0.20270270270270271,1.4206564804862152,3.7429854978344435,3.7401000859577627,4.324490724388663,134_leap_voe_gaze
0.9535217057796384,4327,4432,16563.6,16987.6,424.0,525.0,321.5,1.0,0.1792452830188679,1.5249133952649725,4.334939181045605,4.558246979761023,3.9621685285615045,134_leap_voe_gaze
0.9535217057796384,5022,5032,19343.6,19387.6,44.0,488.0,180.5,1.0,0.18181818181818182,1.930577615171829,4.831580490254365,3.4128413284364583,2.0570550472767692,134_leap_voe_gaze
0.9535217057796384,5034,5197,19391.6,20047.6,656.0,393.0,155.99999999999997,0.0,0.3353658536585366,1.7432411147150488,7.033352543657772,6.895809533484624,5.22445230757225,134_leap_voe_gaze
0.9535217057796384,5208,5237,20087.6,20207.6,120.0,593.0,368.0,0.0,0.5666666666666667,2.656320173038006,14.15444181965763,6.732180154723973,4.745251984058911,134_leap_voe_gaze
0.9535217057796384,5244,5296,20231.6,20443.6,212.0,572.0,344.5,1.0,0.5094339622641509,2.317737771330761,8.29635946375036,4.721876358521675,4.207612596702483,134_leap_voe_gaze
0.9535217057796384,5300,5313,20455.6,20511.6,56.0,618.0,339.0,1.0,0.21428571428571427,1.8812840815947411,6.129752065672781,3.295963200750278,2.7115725623193776,134_leap_voe_gaze
0.9535217057796384,5340,5410,20615.6,20899.6,284.0,651.0,321.0,1.0,0.39436619718309857,2.2503567518955436,10.103617756752106,7.900961431585773,4.745251984058911,134_leap_voe_gaze
0.9535217057796384,5414,5524,20911.6,21355.6,444.0,577.0,228.0,1.0,0.5945945945945946,1.9962382749835554,9.231297826479208,5.504959814019082,4.885505737282327,134_leap_voe_gaze
0.9535217057796384,5648,5711,21847.6,22103.6,256.0,804.0,321.0,1.0,0.125,1.5212411281103617,6.200381071062803,3.8102269625694705,4.9322569883568,134_leap_voe_gaze
0.9535217057796384,5718,5796,22127.6,22443.6,316.0,666.0,208.0,1.0,0.0759493670886076,1.4985717734439497,4.317557705064362,4.4063054137689885,4.254363847776955,134_leap_voe_gaze
0.9535217057796384,5839,5905,22611.6,22879.6,268.0,774.5,268.0,1.0,0.13432835820895522,1.3230636002855165,3.5344465704874968,3.5297194561226384,3.5764707071971102,134_leap_voe_gaze
0.9535217057796384,5911,5973,22899.6,23151.6,252.0,860.5,331.0,0.0,0.14285714285714285,1.8833931028674462,3.9307084474715595,3.319338826287514,5.3296426224898115,134_leap_voe_gaze
0.9535217057796384,5978,6049,23167.6,23455.6,288.0,716.0,227.0,1.0,0.2638888888888889,1.8011859738210743,6.40748198352052,5.423145124638755,4.207612596702483,134_leap_voe_gaze
0.9535217057796384,6059,6069,23491.6,23535.6,44.0,725.5,120.0,1.0,0.09090909090909091,1.1229047489317407,2.3049616261585353,1.1454056513245647,2.5830066218645795,134_leap_voe_gaze
0.9535217057796384,6077,6151,23563.6,23863.6,300.0,708.0,114.0,1.0,0.26666666666666666,1.6596921561373126,3.7804430811779346,3.5530950816598743,4.908881362819563,134_leap_voe_gaze
0.9535217057796384,6321,6385,24539.6,24799.5,259.90000000000146,867.0,351.0,1.0,0.6,1.9073071688216392,5.9093826685622055,3.7167244604205263,3.6699732093460544,134_leap_voe_gaze
0.9535217057796384,6390,6401,24815.5,24863.6,48.099999999998545,854.0,373.99999999999994,1.0,0.75,0.18256947177631394,0.7148397935575711,1.7064206642182291,1.0519031491756208,134_leap_voe_gaze
0.9535217057796384,6494,6542,25231.5,25427.5,196.0,887.0,137.5,1.0,0.3469387755102041,1.3071360308020883,3.9463781378141483,4.160861345628008,3.6699732093460544,134_leap_voe_gaze
0.9535217057796384,6549,6571,25451.5,25543.5,92.0,991.0,-23.0,1.0,0.5217391304347826,1.5360471983152328,8.026114841478464,3.015455694303446,4.043983217941831,134_leap_voe_gaze
0.9535217057796384,6617,6645,25723.5,25839.5,116.0,997.0,-105.5,1.0,0.7241379310344828,2.717591151903621,9.165335894029711,4.347866349925899,3.062206945377918,134_leap_voe_gaze
0.9535217057796384,6647,6657,25843.5,25887.5,44.0,1044.0,-128.5,0.0,0.6363636363636364,1.6389631104048097,16.07509089216261,5.259515745878104,3.7634757114949986,134_leap_voe_gaze
0.9535217057796384,6660,6670,25895.5,25939.5,44.0,1000.0000000000001,-176.0,1.0,0.5454545454545454,1.9852774408004852,4.637660752802979,1.3090350300852196,3.646597583808819,134_leap_voe_gaze
0.9535217057796384,6697,6784,26043.5,26395.5,352.0,1049.0,-106.25,1.0,0.11363636363636363,1.243140433238093,2.822647327890642,2.6648213112449084,3.5297194561226384,134_leap_voe_gaze
0.9535217057796384,6861,6881,26699.5,26783.5,84.0,1167.0,88.0,1.0,0.47619047619047616,1.7525707246999682,4.888423289102028,3.4128413284364583,2.6648213112449057,134_leap_voe_gaze
0.9535217057796384,6892,7415,26823.5,28919.5,2096.0,1047.25,-60.0,0.0,0.04580152671755725,1.04204408755744,4.352479806811901,3.85697821364394,6.580238588731938,134_leap_voe_gaze
0.9535217057796384,7420,7458,28935.5,29091.5,156.0,1035.0,-99.0,1.0,0.358974358974359,1.9734735520478035,8.791717545624222,5.399769499101519,4.908881362819563,134_leap_voe_gaze
0.9535217057796384,7525,7584,29355.5,29595.5,240.0,983.0,-179.0,1.0,0.75,2.0166270153235457,5.679204406821978,4.020607592404595,3.4128413284364583,134_leap_voe_gaze
0.9535217057796384,8273,8685,32347.5,33999.5,1652.0,885.5,338.5,0.0,0.0,0.885328457392663,1.5326643277402463,2.5713188090959616,3.34271445182475,134_leap_voe_gaze
0.9535217057796384,8694,8765,34031.5,34319.5,288.0,541.0,102.0,0.0,0.0,0.9473446717130699,1.6673464516079917,2.1856209877315673,3.132333821989626,134_leap_voe_gaze
0.9535217057796384,8775,8816,34355.5,34523.5,168.0,1012.0,455.0,0.0,0.0,1.1294174899017386,2.4986158770682136,2.1271819238884775,3.155709447526862,134_leap_voe_gaze
0.9535217057796384,8823,9174,34547.5,35955.5,1408.0,883.5,351.5,1.0,0.008522727272727272,1.0472355482218532,2.1840194489569322,2.9687044432289738,4.301115098851427,134_leap_voe_gaze
0.9535217057796384,9625,9634,37755.5,37795.5,40.0,572.25,451.25,1.0,0.2,1.2755700679248156,2.365162925337937,2.8284506900055577,1.2389081534735076,134_leap_voe_gaze
0.9535217057796384,9639,10242,37811.5,40227.5,2416.0,879.75,362.5,0.0,0.006622516556291391,1.02233168759043,2.9948670150074044,3.7284122731891447,4.6985007329844395,134_leap_voe_gaze
0.9535217057796384,10252,10379,40263.5,40775.5,512.0,1340.5,567.5,0.0,0.15625,1.8296728877852646,5.020437434373115,4.079046656247685,5.0023838649685075,134_leap_voe_gaze
0.9535217057796384,10392,10500,40823.5,41259.5,436.0,1549.0,279.0,0.0,0.0,0.8157059725849947,1.217534388098639,2.1505575494257134,2.606382247401816,134_leap_voe_gaze
0.9535217057796384,10516,10602,41319.5,41667.5,348.0,2491.0,1110.0,1.0,0.11494252873563218,1.5392530562234068,3.948142964909021,5.3062669969525755,3.038831319840682,134_leap_voe_gaze
0.9535217057796384,10819,10887,42531.5,42807.5,276.0,1921.0,79.0,1.0,0.028985507246376812,0.8348979540069844,1.5864345900165975,1.940176919590584,2.5245675580214897,134_leap_voe_gaze
0.9535217057796384,10898,11003,42847.5,43271.5,424.0,2623.5,305.5,0.0,0.08490566037735849,1.770755534733669,7.121742246868165,7.199692665468692,4.6985007329844395,134_leap_voe_gaze
0.9535217057796384,11012,11094,43303.5,43635.5,332.0,3676.0,76.5,1.0,0.13253012048192772,2.1124538450389196,9.638803075940595,5.914033260920712,6.288043269516488,134_leap_voe_gaze
0.9535217057796384,11476,11494,45159.5,45235.5,76.0,1382.0,278.0,1.0,0.0,0.6772435063716099,0.913710195818205,1.2155325279362728,1.8934256685161173,134_leap_voe_gaze
0.9535217057796384,11504,11578,45271.5,45571.5,300.0,1742.5,108.5,0.0,0.0,0.5361437115778912,0.7533149056928188,1.507727847151723,1.589542536532049,134_leap_voe_gaze
