device_time_stamp,left_gaze_point_on_display_area,right_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_validity,off_screen,gaze_event_tag,trial_type,event_info
-741.2,"(nan, nan)","(nan, nan)",0,0,1,,,
-737.2,"(nan, nan)","(nan, nan)",0,0,1,,,
-733.2,"(nan, nan)","(nan, nan)",0,0,1,,,
-729.2,"(nan, nan)","(nan, nan)",0,0,1,,,
-725.2,"(nan, nan)","(nan, nan)",0,0,1,,,
-721.2,"(nan, nan)","(nan, nan)",0,0,1,,,
-717.2,"(nan, nan)","(nan, nan)",0,0,1,,,
-713.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-709.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-705.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-701.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-697.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-693.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-689.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-685.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-681.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-677.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-673.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-669.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-665.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-661.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-657.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-653.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-649.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-645.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-641.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-637.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-633.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-629.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-625.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-621.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-617.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-613.1,"(nan, nan)","(nan, nan)",0,0,1,,,
