device_time_stamp,left_gaze_point_on_display_area,right_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_validity,off_screen,gaze_event_tag,trial_type,event_info
-745.8,"(0.6119791666666666, 0.42962962962962964)","(0.5901041666666667, 0.40925925925925927)",1,1,0,,,
-741.8,"(0.6046875, 0.4861111111111111)","(0.590625, 0.4111111111111111)",1,1,0,,,
-737.8,"(0.6161458333333333, 0.40185185185185185)","(0.5739583333333333, 0.41203703703703703)",1,1,0,,,
-733.8,"(0.6125, 0.4305555555555556)","(0.5932291666666667, 0.40925925925925927)",1,1,0,,,
-729.7,"(nan, nan)","(0.5916666666666667, 0.4074074074074074)",0,1,0,,,
-725.7,"(0.6135416666666667, 0.4601851851851852)","(0.5734375, 0.4222222222222222)",1,1,0,,,
-721.7,"(0.60625, 0.44814814814814813)","(0.590625, 0.4111111111111111)",1,1,0,,,
-717.7,"(0.6046875, 0.44166666666666665)","(0.5989583333333334, 0.40555555555555556)",1,1,0,,,
-713.7,"(0.6119791666666666, 0.3990740740740741)","(0.5958333333333333, 0.42407407407407405)",1,1,0,,,
-709.7,"(0.6114583333333333, 0.4740740740740741)","(0.5973958333333333, 0.43425925925925923)",1,1,0,,,
-705.7,"(0.6192708333333333, 0.46296296296296297)","(0.5833333333333334, 0.42962962962962964)",1,1,0,,,
-701.7,"(0.6057291666666667, 0.4212962962962963)","(0.5973958333333333, 0.42314814814814816)",1,1,0,,,
-697.7,"(0.6005208333333333, 0.35648148148148145)","(0.5921875, 0.42685185185185187)",1,1,0,,,
-693.7,"(0.6171875, 0.42685185185185187)","(0.5885416666666666, 0.42962962962962964)",1,1,0,,,
-689.7,"(0.5916666666666667, 0.41759259259259257)","(0.5848958333333333, 0.40925925925925927)",1,1,0,,,
-685.7,"(0.6208333333333333, 0.4287037037037037)","(0.6026041666666667, 0.44166666666666665)",1,1,0,,,
-681.7,"(0.6010416666666667, 0.4601851851851852)","(0.5942708333333333, 0.42592592592592593)",1,1,0,,,
-677.7,"(0.6239583333333333, 0.4462962962962963)","(0.5854166666666667, 0.4166666666666667)",1,1,0,,,
-673.7,"(0.6010416666666667, 0.462037037037037)","(0.58125, 0.425)",1,1,0,,,
-669.7,"(nan, nan)","(0.5947916666666667, 0.4111111111111111)",0,1,0,,,
-665.7,"(0.6130208333333333, 0.40185185185185185)","(0.5833333333333334, 0.3962962962962963)",1,1,0,,,
-661.7,"(0.6151041666666667, 0.4305555555555556)","(0.5895833333333333, 0.4083333333333333)",1,1,0,,,
-657.7,"(nan, nan)","(0.5770833333333333, 0.43333333333333335)",0,1,0,,,
-653.7,"(0.5723958333333333, 0.3925925925925926)","(0.5619791666666667, 0.4166666666666667)",1,1,0,,,
-649.7,"(0.5385416666666667, 0.4074074074074074)","(0.5322916666666667, 0.39537037037037037)",1,1,1,,,
-645.7,"(0.490625, 0.42685185185185187)","(0.5041666666666667, 0.44814814814814813)",1,1,1,,,
-641.7,"(0.46770833333333334, 0.5064814814814815)","(0.4552083333333333, 0.4527777777777778)",1,1,1,,,
-637.7,"(0.4328125, 0.5222222222222223)","(0.4328125, 0.48703703703703705)",1,1,1,,,
-633.7,"(0.4036458333333333, 0.5481481481481482)","(0.4119791666666667, 0.5203703703703704)",1,1,1,,,
-629.7,"(0.35520833333333335, 0.5138888888888888)","(0.37447916666666664, 0.5046296296296297)",1,1,1,,,
-625.7,"(0.3390625, 0.5444444444444444)","(0.3177083333333333, 0.5203703703703704)",1,1,1,,,
-621.7,"(0.31666666666666665, 0.5787037037037037)","(0.32760416666666664, 0.5481481481481482)",1,1,1,,,
-617.7,"(0.2875, 0.6398148148148148)","(0.2984375, 0.6203703703703703)",1,1,1,,,
-613.7,"(0.27291666666666664, 0.6898148148148148)","(0.2640625, 0.6157407407407407)",1,1,1,,,
-609.7,"(0.24010416666666667, 0.6898148148148148)","(0.22916666666666666, 0.6564814814814814)",1,1,1,,,
-605.7,"(0.22239583333333332, 0.7222222222222222)","(0.20625, 0.6953703703703704)",1,1,1,,,
-601.7,"(0.19114583333333332, 0.787962962962963)","(nan, nan)",1,0,1,,,
-597.7,"(0.18802083333333333, 0.7731481481481481)","(0.18489583333333334, 0.7861111111111111)",1,1,1,,,
-593.7,"(nan, nan)","(0.1625, 0.8527777777777777)",0,1,1,,,
-589.7,"(0.15625, 0.8287037037037037)","(0.16927083333333334, 0.8481481481481481)",1,1,1,,,
-585.7,"(nan, nan)","(0.14947916666666666, 0.8351851851851851)",0,1,1,,,
-581.7,"(0.171875, 0.8703703703703703)","(0.15, 0.8444444444444444)",1,1,1,,,
-577.7,"(0.1765625, 0.8712962962962963)","(0.15052083333333333, 0.8462962962962963)",1,1,1,,,
-573.7,"(0.17708333333333334, 0.8037037037037037)","(0.14791666666666667, 0.8194444444444444)",1,1,1,,,
-569.7,"(nan, nan)","(nan, nan)",0,0,1,,,
-565.7,"(0.1484375, 0.8314814814814815)","(0.15208333333333332, 0.8537037037037037)",1,1,1,,,
-561.7,"(0.15729166666666666, 0.8342592592592593)","(0.18020833333333333, 0.8324074074074074)",1,1,1,,,
-557.7,"(nan, nan)","(0.16770833333333332, 0.8435185185185186)",0,1,1,,,
-553.7,"(nan, nan)","(0.1390625, 0.8740740740740741)",0,1,1,,,
-549.7,"(0.14010416666666667, 0.8148148148148148)","(0.16197916666666667, 0.7953703703703704)",1,1,1,,,
-545.7,"(0.14166666666666666, 0.8240740740740741)","(0.15572916666666667, 0.8388888888888889)",1,1,1,,,
-541.7,"(nan, nan)","(nan, nan)",0,0,1,,,
-537.7,"(nan, nan)","(nan, nan)",0,0,1,,,
-533.7,"(0.15052083333333333, 0.8574074074074074)","(0.1609375, 0.8148148148148148)",1,1,1,,,
-529.7,"(0.15208333333333332, 0.8601851851851852)","(0.14427083333333332, 0.8268518518518518)",1,1,1,,,
-525.7,"(0.14270833333333333, 0.8388888888888889)","(0.13541666666666666, 0.8277777777777777)",1,1,1,,,
-521.7,"(0.14947916666666666, 0.837037037037037)","(0.13854166666666667, 0.8305555555555556)",1,1,1,,,
-517.7,"(0.16145833333333334, 0.8962962962962963)","(nan, nan)",1,0,1,,,
-513.7,"(nan, nan)","(0.16197916666666667, 0.8398148148148148)",0,1,1,,,
-509.7,"(nan, nan)","(0.15625, 0.8527777777777777)",0,1,1,,,
-505.8,"(0.16927083333333334, 0.8314814814814815)","(nan, nan)",1,0,1,,,
-501.8,"(0.15, 0.8240740740740741)","(0.14791666666666667, 0.8574074074074074)",1,1,1,,,
-497.8,"(nan, nan)","(0.1421875, 0.8490740740740741)",0,1,1,,,
-493.8,"(nan, nan)","(0.16041666666666668, 0.825925925925926)",0,1,1,,,
-489.8,"(0.1453125, 0.862037037037037)","(0.1671875, 0.8166666666666667)",1,1,1,,,
-485.8,"(0.13958333333333334, 0.8287037037037037)","(0.159375, 0.837037037037037)",1,1,1,,,
-481.8,"(0.14166666666666666, 0.8203703703703704)","(0.1390625, 0.825)",1,1,1,,,
-477.8,"(0.15572916666666667, 0.8564814814814815)","(nan, nan)",1,0,1,,,
-473.8,"(nan, nan)","(0.159375, 0.8064814814814815)",0,1,1,,,
-469.8,"(0.17395833333333333, 0.8833333333333333)","(0.15416666666666667, 0.8574074074074074)",1,1,1,,,
-465.8,"(0.1703125, 0.8398148148148148)","(0.15885416666666666, 0.8305555555555556)",1,1,1,,,
-461.8,"(nan, nan)","(nan, nan)",0,0,1,,,
-457.8,"(0.15260416666666668, 0.8629629629629629)","(0.15677083333333333, 0.8333333333333334)",1,1,1,,,
-453.8,"(0.15364583333333334, 0.8611111111111112)","(0.17395833333333333, 0.8555555555555555)",1,1,1,,,
-449.8,"(0.14322916666666666, 0.8574074074074074)","(nan, nan)",1,0,1,,,
-445.8,"(0.1484375, 0.8601851851851852)","(0.165625, 0.8972222222222223)",1,1,1,,,
-441.8,"(0.15364583333333334, 0.8444444444444444)","(0.14583333333333334, 0.8287037037037037)",1,1,1,,,
-437.8,"(0.15520833333333334, 0.899074074074074)","(0.15520833333333334, 0.8055555555555556)",1,1,1,,,
-433.8,"(nan, nan)","(0.15208333333333332, 0.8231481481481482)",0,1,1,,,
-429.7,"(0.14322916666666666, 0.8768518518518519)","(nan, nan)",1,0,1,,,
-425.7,"(0.13385416666666666, 0.8685185185185185)","(0.15208333333333332, 0.8101851851851852)",1,1,1,,,
-421.7,"(0.14947916666666666, 0.8287037037037037)","(0.15260416666666668, 0.8379629629629629)",1,1,1,,,
-417.7,"(0.14375, 0.8583333333333333)","(0.15520833333333334, 0.8351851851851851)",1,1,1,,,
-413.7,"(nan, nan)","(0.15260416666666668, 0.8203703703703704)",0,1,1,,,
-409.7,"(0.16354166666666667, 0.850925925925926)","(0.1484375, 0.7768518518518519)",1,1,1,,,
-405.7,"(nan, nan)","(0.146875, 0.825925925925926)",0,1,1,,,
-401.7,"(0.15208333333333332, 0.9)","(0.15572916666666667, 0.8555555555555555)",1,1,1,,,
-397.7,"(0.17708333333333334, 0.8805555555555555)","(0.1703125, 0.8453703703703703)",1,1,1,,,
-393.7,"(0.15885416666666666, 0.8777777777777778)","(0.15520833333333334, 0.8379629629629629)",1,1,1,,,
-389.7,"(0.14322916666666666, 0.8481481481481481)","(0.14895833333333333, 0.8722222222222222)",1,1,1,,,
-385.7,"(0.1609375, 0.8601851851851852)","(nan, nan)",1,0,1,,,
-381.7,"(nan, nan)","(0.14791666666666667, 0.8388888888888889)",0,1,1,,,
-377.7,"(0.1484375, 0.9009259259259259)","(0.15833333333333333, 0.8638888888888889)",1,1,1,,,
-373.7,"(0.165625, 0.8796296296296297)","(0.15572916666666667, 0.8296296296296296)",1,1,1,,,
-369.7,"(0.1640625, 0.8527777777777777)","(0.14791666666666667, 0.850925925925926)",1,1,1,,,
-365.7,"(0.1625, 0.8638888888888889)","(0.14479166666666668, 0.8185185185185185)",1,1,1,,,
-361.7,"(nan, nan)","(0.15677083333333333, 0.8444444444444444)",0,1,1,,,
-357.7,"(0.16458333333333333, 0.8425925925925926)","(0.14635416666666667, 0.8611111111111112)",1,1,1,,,
-353.7,"(nan, nan)","(0.12708333333333333, 0.8296296296296296)",0,1,1,,,
-349.7,"(0.15, 0.8814814814814815)","(0.15520833333333334, 0.85)",1,1,1,,,
-345.7,"(nan, nan)","(0.13072916666666667, 0.8481481481481481)",0,1,1,,,
-341.7,"(0.1484375, 0.8574074074074074)","(0.14114583333333333, 0.862037037037037)",1,1,1,,,
-337.7,"(0.15, 0.8416666666666667)","(0.14739583333333334, 0.8083333333333333)",1,1,1,,,
-333.7,"(nan, nan)","(0.15729166666666666, 0.8287037037037037)",0,1,1,,,
-329.7,"(nan, nan)","(0.1734375, 0.8296296296296296)",0,1,1,,,
-325.7,"(0.16354166666666667, 0.85)","(0.1625, 0.8490740740740741)",1,1,1,,,
-321.7,"(nan, nan)","(0.1640625, 0.8212962962962963)",0,1,1,,,
-317.7,"(0.15052083333333333, 0.875)","(0.13958333333333334, 0.85)",1,1,1,,,
-313.7,"(0.15208333333333332, 0.8861111111111111)","(0.14322916666666666, 0.8925925925925926)",1,1,1,,,
-309.7,"(0.1328125, 0.9148148148148149)","(0.14166666666666666, 0.9305555555555556)",1,1,1,,,
-305.7,"(0.14114583333333333, 0.975925925925926)","(0.134375, 0.9361111111111111)",1,1,1,,,
-301.7,"(nan, nan)","(0.153125, 0.9425925925925925)",0,1,1,,,
-297.7,"(0.15729166666666666, 1.0324074074074074)","(0.16875, 0.9787037037037037)",1,1,1,,,
-293.7,"(nan, nan)","(nan, nan)",0,0,1,,,
-289.7,"(nan, nan)","(0.16979166666666667, 0.9666666666666667)",0,1,1,,,
-285.7,"(nan, nan)","(0.16458333333333333, 0.9546296296296296)",0,1,1,,,
-281.7,"(0.15364583333333334, 0.9481481481481482)","(nan, nan)",1,0,1,,,
-277.7,"(nan, nan)","(0.15520833333333334, 0.9435185185185185)",0,1,1,,,
-273.7,"(nan, nan)","(0.16510416666666666, 0.9833333333333333)",0,1,1,,,
-269.7,"(nan, nan)","(0.17135416666666667, 0.9935185185185185)",0,1,1,,,
-265.7,"(nan, nan)","(0.16145833333333334, 0.9592592592592593)",0,1,1,,,
-261.7,"(nan, nan)","(0.17552083333333332, 0.9953703703703703)",0,1,1,,,
-257.7,"(nan, nan)","(0.18020833333333333, 0.9712962962962963)",0,1,1,,,
-253.7,"(nan, nan)","(0.16822916666666668, 0.9712962962962963)",0,1,1,,,
-249.7,"(nan, nan)","(0.175, 1.0092592592592593)",0,1,1,,,
-245.7,"(nan, nan)","(0.15833333333333333, 0.9851851851851852)",0,1,1,,,
-241.7,"(nan, nan)","(nan, nan)",0,0,1,,,
-237.7,"(nan, nan)","(0.1546875, 0.9944444444444445)",0,1,1,,,
-233.7,"(nan, nan)","(0.15625, 0.9851851851851852)",0,1,1,,,
-229.7,"(nan, nan)","(0.16927083333333334, 0.9472222222222222)",0,1,1,,,
-225.7,"(nan, nan)","(nan, nan)",0,0,1,,,
-221.7,"(0.15520833333333334, 0.9814814814814815)","(nan, nan)",1,0,1,,,
-217.7,"(nan, nan)","(0.18177083333333333, 0.9824074074074074)",0,1,1,,,
-213.7,"(nan, nan)","(0.16927083333333334, 0.9916666666666667)",0,1,1,,,
-209.7,"(nan, nan)","(0.16666666666666666, 0.9777777777777777)",0,1,1,,,
-205.7,"(nan, nan)","(0.18125, 1.0018518518518518)",0,1,1,,,
-201.7,"(nan, nan)","(nan, nan)",0,0,1,,,
-197.7,"(nan, nan)","(0.1609375, 0.962037037037037)",0,1,1,,,
-193.7,"(nan, nan)","(0.16822916666666668, 0.9990740740740741)",0,1,1,,,
-189.7,"(nan, nan)","(0.165625, 0.9916666666666667)",0,1,1,,,
-185.7,"(nan, nan)","(0.1609375, 0.9935185185185185)",0,1,1,,,
-181.7,"(nan, nan)","(0.1796875, 0.9787037037037037)",0,1,1,,,
-177.7,"(nan, nan)","(0.1734375, 1.0055555555555555)",0,1,1,,,
-173.7,"(nan, nan)","(0.184375, 0.9824074074074074)",0,1,1,,,
-169.7,"(nan, nan)","(0.18020833333333333, 1.0018518518518518)",0,1,1,,,
-165.7,"(nan, nan)","(nan, nan)",0,0,1,,,
-161.7,"(nan, nan)","(0.1578125, 0.9694444444444444)",0,1,1,,,
-157.7,"(nan, nan)","(0.16614583333333333, 0.9888888888888889)",0,1,1,,,
-153.7,"(nan, nan)","(0.16666666666666666, 0.9740740740740741)",0,1,1,,,
-149.7,"(nan, nan)","(0.159375, 0.9888888888888889)",0,1,1,,,
-145.7,"(nan, nan)","(0.18125, 0.9694444444444444)",0,1,1,,,
-141.7,"(nan, nan)","(0.16302083333333334, 0.962037037037037)",0,1,1,,,
-137.7,"(nan, nan)","(0.17291666666666666, 0.9879629629629629)",0,1,1,,,
-133.7,"(nan, nan)","(0.1578125, 0.9601851851851851)",0,1,1,,,
-129.7,"(nan, nan)","(0.16458333333333333, 0.9944444444444445)",0,1,1,,,
-125.7,"(nan, nan)","(0.1515625, 0.9851851851851852)",0,1,1,,,
-121.7,"(nan, nan)","(nan, nan)",0,0,1,,,
-117.7,"(nan, nan)","(0.15416666666666667, 0.9657407407407408)",0,1,1,,,
-113.7,"(nan, nan)","(0.16458333333333333, 0.9768518518518519)",0,1,1,,,
-109.7,"(nan, nan)","(0.19322916666666667, 0.9888888888888889)",0,1,1,,,
-105.7,"(nan, nan)","(0.17708333333333334, 0.9972222222222222)",0,1,1,,,
-101.7,"(nan, nan)","(0.16197916666666667, 0.9824074074074074)",0,1,1,,,
-97.7,"(nan, nan)","(0.16927083333333334, 0.9861111111111112)",0,1,1,,,
-93.7,"(0.14791666666666667, 0.9833333333333333)","(0.1640625, 0.937037037037037)",1,1,1,,,
-89.7,"(nan, nan)","(0.18645833333333334, 0.9657407407407408)",0,1,1,,,
-85.7,"(nan, nan)","(nan, nan)",0,0,1,,,
-81.7,"(nan, nan)","(nan, nan)",0,0,1,,,
-77.7,"(nan, nan)","(0.1734375, 1.0)",0,1,1,,,
-73.7,"(nan, nan)","(0.16666666666666666, 1.012037037037037)",0,1,1,,,
-69.7,"(nan, nan)","(nan, nan)",0,0,1,,,
-65.7,"(nan, nan)","(nan, nan)",0,0,1,,,
-61.7,"(nan, nan)","(0.16302083333333334, 1.0240740740740741)",0,1,1,,,
-57.7,"(nan, nan)","(0.16302083333333334, 0.9777777777777777)",0,1,1,,,
-53.7,"(nan, nan)","(0.16822916666666668, 0.9935185185185185)",0,1,1,,,
-49.7,"(0.1703125, 0.9907407407407407)","(0.1921875, 0.962037037037037)",1,1,1,,,
-45.7,"(nan, nan)","(0.17916666666666667, 1.0055555555555555)",0,1,1,,,
-41.7,"(0.17708333333333334, 0.9962962962962963)","(0.16614583333333333, 0.9657407407407408)",1,1,1,,,
-37.7,"(0.15729166666666666, 0.9583333333333334)","(0.15625, 0.9546296296296296)",1,1,1,,,
-33.7,"(nan, nan)","(nan, nan)",0,0,1,,,
-29.7,"(nan, nan)","(0.16354166666666667, 0.9805555555555555)",0,1,1,,,
-25.7,"(nan, nan)","(0.16510416666666666, 0.9888888888888889)",0,1,1,,,
-21.7,"(nan, nan)","(0.1859375, 1.0027777777777778)",0,1,1,,,
-17.7,"(nan, nan)","(nan, nan)",0,0,1,,,
-13.7,"(nan, nan)","(nan, nan)",0,0,1,,,
-9.7,"(nan, nan)","(nan, nan)",0,0,1,,,
-5.7,"(nan, nan)","(nan, nan)",0,0,1,,,
-1.7,"(nan, nan)","(nan, nan)",0,0,1,,,
2.3,"(nan, nan)","(0.17447916666666666, 1.0)",0,1,1,,,
6.3,"(nan, nan)","(0.18385416666666668, 1.0037037037037038)",0,1,1,,,
10.3,"(nan, nan)","(0.1796875, 0.9981481481481481)",0,1,1,,,
14.3,"(nan, nan)","(0.18385416666666668, 1.0296296296296297)",0,1,1,,,
18.3,"(nan, nan)","(0.19166666666666668, 1.0166666666666666)",0,1,1,,,
22.3,"(nan, nan)","(0.1765625, 1.0027777777777778)",0,1,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
26.3,"(nan, nan)","(0.18177083333333333, 1.025)",0,1,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
30.3,"(0.190625, 1.0185185185185186)","(0.17708333333333334, 1.011111111111111)",1,1,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
34.3,"(nan, nan)","(0.17447916666666666, 1.037962962962963)",0,1,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
38.3,"(nan, nan)","(0.17447916666666666, 1.0148148148148148)",0,1,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
