device_time_stamp,left_gaze_point_on_display_area,right_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_validity,off_screen,gaze_event_tag,trial_type,event_info
-742.7,"(0.6359375, -0.06018518518518518)","(0.6364583333333333, 0.007407407407407408)",1,1,0,,,
-738.7,"(0.6421875, -0.053703703703703705)","(0.6296875, 0.003703703703703704)",1,1,0,,,
-734.7,"(0.6395833333333333, -0.04537037037037037)","(0.6276041666666666, 0.01574074074074074)",1,1,0,,,
-730.7,"(0.6395833333333333, -0.06851851851851852)","(0.628125, 0.012037037037037037)",1,1,0,,,
-726.7,"(0.6421875, -0.053703703703703705)","(0.6296875, -0.006481481481481481)",1,1,0,,,
-722.7,"(0.6364583333333333, -0.06296296296296296)","(0.6286458333333333, 0.006481481481481481)",1,1,0,,,
-718.7,"(0.6484375, -0.05925925925925926)","(0.6276041666666666, 0.008333333333333333)",1,1,0,,,
-714.7,"(0.6416666666666667, -0.06388888888888888)","(0.6296875, 0.012037037037037037)",1,1,0,,,
-710.7,"(0.6401041666666667, -0.023148148148148147)","(0.628125, 0.008333333333333333)",1,1,0,,,
-706.7,"(0.6432291666666666, -0.017592592592592594)","(0.6265625, 0.017592592592592594)",1,1,0,,,
-702.7,"(0.6432291666666666, -0.03888888888888889)","(0.6229166666666667, 0.018518518518518517)",1,1,0,,,
-698.7,"(0.6427083333333333, -0.03888888888888889)","(0.6234375, 0.0)",1,1,0,,,
-694.7,"(0.6401041666666667, -0.04351851851851852)","(0.6296875, 0.040740740740740744)",1,1,0,,,
-690.7,"(0.6442708333333333, -0.03611111111111111)","(0.6177083333333333, 0.0)",1,1,0,,,
-686.7,"(0.6354166666666666, -0.025925925925925925)","(0.6260416666666667, -0.007407407407407408)",1,1,0,,,
-682.7,"(0.6515625, -0.05092592592592592)","(0.6286458333333333, 0.024074074074074074)",1,1,0,,,
-678.7,"(0.646875, -0.030555555555555555)","(0.6369791666666667, 0.010185185185185186)",1,1,0,,,
-674.7,"(0.640625, -0.05185185185185185)","(0.6286458333333333, 0.014814814814814815)",1,1,0,,,
-670.7,"(0.6390625, -0.032407407407407406)","(0.6317708333333333, 0.019444444444444445)",1,1,0,,,
-666.7,"(0.6380208333333334, -0.024074074074074074)","(0.6276041666666666, 0.021296296296296296)",1,1,0,,,
-662.7,"(0.6473958333333333, -0.032407407407407406)","(0.6260416666666667, 0.017592592592592594)",1,1,0,,,
-658.7,"(0.6479166666666667, -0.016666666666666666)","(0.6208333333333333, 0.018518518518518517)",1,1,0,,,
-654.7,"(0.646875, -0.03333333333333333)","(0.625, 0.01574074074074074)",1,1,0,,,
-650.7,"(0.6432291666666666, -0.018518518518518517)","(0.6276041666666666, 0.03333333333333333)",1,1,0,,,
-646.7,"(0.6416666666666667, -0.026851851851851852)","(0.634375, 0.040740740740740744)",1,1,0,,,
-642.7,"(0.6458333333333334, -0.027777777777777776)","(0.6302083333333334, 0.03981481481481482)",1,1,0,,,
-638.7,"(0.6541666666666667, -0.04259259259259259)","(0.6213541666666667, 0.032407407407407406)",1,1,0,,,
-634.7,"(0.6395833333333333, -0.03148148148148148)","(0.6265625, 0.026851851851851852)",1,1,0,,,
-630.7,"(0.6494791666666667, -0.03148148148148148)","(0.6177083333333333, 0.028703703703703703)",1,1,0,,,
-626.7,"(0.6520833333333333, -0.020370370370370372)","(0.6213541666666667, 0.025925925925925925)",1,1,0,,,
-622.7,"(0.6453125, -0.028703703703703703)","(0.621875, 0.025925925925925925)",1,1,0,,,
-618.7,"(0.6421875, -0.026851851851851852)","(0.6213541666666667, 0.017592592592592594)",1,1,0,,,
-614.7,"(0.65, -0.024074074074074074)","(0.6239583333333333, 0.037037037037037035)",1,1,0,,,
-610.7,"(0.6447916666666667, -0.025925925925925925)","(0.625, 0.002777777777777778)",1,1,0,,,
-606.7,"(0.65, -0.028703703703703703)","(0.6197916666666666, 0.025925925925925925)",1,1,0,,,
-602.7,"(0.6463541666666667, -0.03148148148148148)","(0.6145833333333334, 0.03148148148148148)",1,1,0,,,
-598.7,"(0.6411458333333333, -0.022222222222222223)","(0.6171875, 0.037037037037037035)",1,1,0,,,
-594.7,"(0.653125, -0.021296296296296296)","(0.6135416666666667, 0.026851851851851852)",1,1,0,,,
-590.7,"(0.6520833333333333, -0.021296296296296296)","(nan, nan)",1,0,0,,,
-586.7,"(0.6453125, -0.024074074074074074)","(0.6114583333333333, 0.030555555555555555)",1,1,0,,,
-582.7,"(0.6442708333333333, -0.040740740740740744)","(0.6098958333333333, 0.03796296296296296)",1,1,0,,,
-578.7,"(0.65, -0.03148148148148148)","(0.6333333333333333, 0.009259259259259259)",1,1,0,,,
-574.7,"(0.6494791666666667, -0.04259259259259259)","(nan, nan)",1,0,0,,,
-570.7,"(0.6526041666666667, -0.024074074074074074)","(0.6354166666666666, 0.019444444444444445)",1,1,0,,,
-566.7,"(0.6411458333333333, -0.002777777777777778)","(0.6260416666666667, 0.03148148148148148)",1,1,0,,,
-562.7,"(0.6479166666666667, -0.03425925925925926)","(nan, nan)",1,0,0,,,
-558.7,"(0.6494791666666667, -0.01574074074074074)","(0.6260416666666667, 0.020370370370370372)",1,1,0,,,
-554.7,"(0.6578125, -0.03518518518518519)","(nan, nan)",1,0,0,,,
-550.7,"(0.646875, -0.03981481481481482)","(nan, nan)",1,0,0,,,
-546.7,"(0.6619791666666667, -0.06666666666666667)","(0.6265625, -0.004629629629629629)",1,1,0,,,
-542.7,"(0.6505208333333333, -0.023148148148148147)","(0.6291666666666667, -0.004629629629629629)",1,1,0,,,
-538.7,"(0.6416666666666667, -0.030555555555555555)","(0.6276041666666666, 0.013888888888888888)",1,1,0,,,
-534.7,"(0.653125, -0.019444444444444445)","(0.628125, 0.001851851851851852)",1,1,0,,,
-530.7,"(0.6489583333333333, -0.032407407407407406)","(0.63125, 0.013888888888888888)",1,1,0,,,
-526.7,"(0.6447916666666667, -0.019444444444444445)","(0.6255208333333333, 0.030555555555555555)",1,1,0,,,
-522.7,"(0.6697916666666667, -0.05277777777777778)","(0.6203125, 0.028703703703703703)",1,1,0,,,
-518.7,"(0.653125, -0.02962962962962963)","(0.6192708333333333, 0.03148148148148148)",1,1,0,,,
-514.7,"(0.6541666666666667, -0.009259259259259259)","(0.6223958333333334, 0.03888888888888889)",1,1,0,,,
-510.7,"(0.65, -0.023148148148148147)","(0.6229166666666667, 0.03888888888888889)",1,1,0,,,
-506.7,"(0.6609375, -0.03981481481481482)","(0.6244791666666667, 0.03425925925925926)",1,1,0,,,
-502.7,"(0.6453125, -0.022222222222222223)","(0.6234375, 0.03611111111111111)",1,1,0,,,
-498.7,"(0.6640625, -0.05092592592592592)","(0.6223958333333334, -0.001851851851851852)",1,1,0,,,
-494.7,"(0.6520833333333333, -0.022222222222222223)","(0.6182291666666667, 0.030555555555555555)",1,1,0,,,
-490.7,"(0.6645833333333333, -0.05925925925925926)","(0.6291666666666667, 0.01574074074074074)",1,1,0,,,
-486.7,"(0.6546875, 0.000925925925925926)","(0.6223958333333334, 0.040740740740740744)",1,1,0,,,
-482.7,"(0.6505208333333333, -0.030555555555555555)","(0.6114583333333333, 0.03425925925925926)",1,1,0,,,
-478.7,"(0.6546875, -0.032407407407407406)","(0.6197916666666666, 0.026851851851851852)",1,1,0,,,
-474.7,"(0.6515625, -0.014814814814814815)","(0.6197916666666666, 0.023148148148148147)",1,1,0,,,
-470.7,"(0.6557291666666667, -0.040740740740740744)","(0.6125, 0.010185185185185186)",1,1,0,,,
-466.7,"(0.6489583333333333, -0.012962962962962963)","(0.6119791666666666, 0.03981481481481482)",1,1,0,,,
-462.7,"(0.6479166666666667, -0.007407407407407408)","(0.615625, 0.019444444444444445)",1,1,0,,,
-458.7,"(0.6515625, -0.03888888888888889)","(0.6171875, 0.03518518518518519)",1,1,0,,,
-454.7,"(0.6510416666666666, -0.026851851851851852)","(0.6192708333333333, 0.019444444444444445)",1,1,0,,,
-450.7,"(0.6666666666666666, -0.049074074074074076)","(0.6109375, 0.037037037037037035)",1,1,0,,,
-446.7,"(0.6578125, -0.025)","(0.6078125, 0.032407407407407406)",1,1,0,,,
-442.7,"(0.6567708333333333, -0.03333333333333333)","(0.6072916666666667, 0.05185185185185185)",1,1,0,,,
-438.7,"(0.659375, -0.023148148148148147)","(0.6114583333333333, 0.044444444444444446)",1,1,0,,,
-434.7,"(0.6567708333333333, -0.027777777777777776)","(0.6125, 0.021296296296296296)",1,1,0,,,
-430.7,"(0.6541666666666667, -0.044444444444444446)","(0.6177083333333333, 0.03888888888888889)",1,1,0,,,
-426.7,"(0.6588541666666666, -0.018518518518518517)","(0.6161458333333333, 0.026851851851851852)",1,1,0,,,
-422.7,"(0.659375, -0.03981481481481482)","(0.6151041666666667, 0.037037037037037035)",1,1,0,,,
-418.7,"(0.6625, -0.016666666666666666)","(0.6244791666666667, 0.040740740740740744)",1,1,0,,,
-414.7,"(0.6583333333333333, -0.028703703703703703)","(0.625, 0.05185185185185185)",1,1,0,,,
-410.7,"(0.6598958333333333, -0.014814814814814815)","(0.6192708333333333, 0.030555555555555555)",1,1,0,,,
-406.7,"(0.6677083333333333, -0.05092592592592592)","(0.6161458333333333, 0.037037037037037035)",1,1,0,,,
-402.7,"(0.6572916666666667, -0.05648148148148148)","(0.6213541666666667, 0.028703703703703703)",1,1,0,,,
-398.7,"(0.6578125, -0.06574074074074074)","(0.6182291666666667, 0.041666666666666664)",1,1,0,,,
-394.7,"(0.671875, -0.06574074074074074)","(0.6119791666666666, 0.040740740740740744)",1,1,0,,,
-390.7,"(0.653125, -0.003703703703703704)","(0.61875, 0.041666666666666664)",1,1,0,,,
-386.7,"(0.65, 0.006481481481481481)","(0.6260416666666667, 0.012037037037037037)",1,1,0,,,
-382.7,"(0.6526041666666667, -0.019444444444444445)","(0.6239583333333333, 0.007407407407407408)",1,1,0,,,
-378.7,"(0.646875, -0.002777777777777778)","(0.6171875, 0.016666666666666666)",1,1,0,,,
-374.7,"(0.6546875, -0.000925925925925926)","(0.621875, 0.026851851851851852)",1,1,0,,,
-370.7,"(0.6515625, -0.008333333333333333)","(0.6317708333333333, 0.025)",1,1,0,,,
-366.7,"(0.6515625, -0.007407407407407408)","(0.6192708333333333, 0.03518518518518519)",1,1,0,,,
-362.7,"(0.6520833333333333, -0.005555555555555556)","(0.6192708333333333, 0.037037037037037035)",1,1,0,,,
-358.7,"(0.6520833333333333, -0.01574074074074074)","(0.6177083333333333, 0.03518518518518519)",1,1,0,,,
-354.7,"(0.6567708333333333, -0.005555555555555556)","(0.6229166666666667, 0.018518518518518517)",1,1,0,,,
-350.7,"(0.653125, -0.003703703703703704)","(0.615625, 0.019444444444444445)",1,1,0,,,
-346.7,"(0.6572916666666667, 0.004629629629629629)","(0.625, 0.014814814814814815)",1,1,0,,,
-342.7,"(0.6541666666666667, -0.019444444444444445)","(0.6213541666666667, 0.032407407407407406)",1,1,0,,,
-338.7,"(0.6526041666666667, -0.004629629629629629)","(0.6223958333333334, 0.04351851851851852)",1,1,0,,,
-334.7,"(0.6546875, -0.012962962962962963)","(0.6255208333333333, 0.03425925925925926)",1,1,0,,,
-330.7,"(0.6557291666666667, -0.009259259259259259)","(0.6203125, 0.04259259259259259)",1,1,0,,,
-326.7,"(0.6484375, -0.05092592592592592)","(0.6270833333333333, 0.04722222222222222)",1,1,0,,,
-322.6,"(0.6484375, -0.019444444444444445)","(0.6197916666666666, 0.03888888888888889)",1,1,0,,,
-318.6,"(0.6494791666666667, -0.03611111111111111)","(0.628125, 0.03981481481481482)",1,1,0,,,
-314.6,"(0.6619791666666667, -0.03148148148148148)","(0.6151041666666667, 0.03796296296296296)",1,1,0,,,
-310.6,"(0.6473958333333333, -0.023148148148148147)","(0.6171875, 0.03148148148148148)",1,1,0,,,
-306.6,"(0.6552083333333333, -0.026851851851851852)","(0.6197916666666666, 0.037037037037037035)",1,1,0,,,
-302.6,"(0.6494791666666667, 0.008333333333333333)","(0.6135416666666667, 0.062037037037037036)",1,1,0,,,
-298.6,"(0.6515625, -0.04351851851851852)","(0.6192708333333333, 0.058333333333333334)",1,1,0,,,
-294.6,"(0.6515625, -0.001851851851851852)","(0.621875, 0.03981481481481482)",1,1,0,,,
-290.6,"(0.6494791666666667, -0.040740740740740744)","(0.6208333333333333, 0.04722222222222222)",1,1,0,,,
-286.6,"(0.6489583333333333, -0.04722222222222222)","(0.6260416666666667, 0.04351851851851852)",1,1,0,,,
-282.6,"(0.6484375, -0.021296296296296296)","(0.6223958333333334, 0.03611111111111111)",1,1,0,,,
-278.6,"(0.6515625, -0.044444444444444446)","(0.6114583333333333, 0.04537037037037037)",1,1,0,,,
-274.6,"(0.6536458333333334, -0.007407407407407408)","(nan, nan)",1,0,0,,,
-270.6,"(0.6427083333333333, 0.003703703703703704)","(0.615625, 0.05092592592592592)",1,1,0,,,
-266.6,"(0.6416666666666667, 0.018518518518518517)","(0.6291666666666667, 0.03888888888888889)",1,1,0,,,
-262.6,"(0.65, 0.004629629629629629)","(0.6203125, 0.028703703703703703)",1,1,0,,,
-258.6,"(0.6494791666666667, -0.01574074074074074)","(0.6203125, 0.05)",1,1,0,,,
-254.6,"(0.6484375, -0.008333333333333333)","(0.6213541666666667, 0.04259259259259259)",1,1,0,,,
-250.6,"(0.6505208333333333, 0.021296296296296296)","(0.6234375, 0.041666666666666664)",1,1,0,,,
-246.6,"(0.6526041666666667, -0.001851851851851852)","(0.6182291666666667, 0.049074074074074076)",1,1,0,,,
-242.6,"(0.646875, -0.019444444444444445)","(0.6197916666666666, 0.041666666666666664)",1,1,0,,,
