device_time_stamp,left_gaze_point_on_display_area,right_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_validity,off_screen,gaze_event_tag,trial_type,event_info
-739.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-735.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-731.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-727.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-723.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-719.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-715.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-711.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-707.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-703.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-699.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-695.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-691.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-687.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-683.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-679.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-675.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-671.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-667.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-663.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-659.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-655.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-651.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-647.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-643.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-639.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-635.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-631.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-627.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-623.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-619.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-615.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-611.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-607.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-603.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-599.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-595.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-591.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-587.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-583.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-579.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-575.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-571.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-567.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-563.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-559.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-555.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-551.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-547.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-543.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-539.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-535.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-531.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-527.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-523.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-519.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-515.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-511.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-507.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-503.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-499.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-495.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-491.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-487.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-483.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-479.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-475.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-471.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-467.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-463.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-459.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-455.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-451.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-447.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-443.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-439.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-435.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-431.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-427.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-423.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-419.3,"(nan, nan)","(nan, nan)",0,0,1,,,
-415.3,"(nan, nan)","(nan, nan)",0,0,1,,,
