snum,months,days,sex,cond,GNG,gazeOnOff,trial,trialType,startTime,endTime,duration
106,12,24,,2,1,1,1,Fam Trial,0,2.7838114000624046,2.7838114000624046
106,12,24,,2,1,0,1,Fam Trial,2.7838180001126602,3.303086300031282,0.5192682999186218
106,12,24,,2,1,1,1,Fam Trial,3.3030776000814512,12.452520600054413,9.149442999972962
106,12,24,,2,1,0,1,Fam Trial,12.452533400035463,14.453139800112695,2.0006064000772312
106,12,24,,2,1,1,2,Fam Trial,0,11.567893199971877,11.567893199971877
106,12,24,,2,1,0,2,Fam Trial,11.5679017000366,12.616838100017048,1.0489363999804482
106,12,24,,2,1,1,2,Fam Trial,12.616831899969839,22.984562000026926,10.367730100057088
106,12,24,,2,1,0,2,Fam Trial,22.984569999971427,25.000059699988924,2.015489700017497
106,12,24,,2,1,1,3,Test Trial,0,9.685103200026788,9.685103200026788
106,12,24,,2,1,0,3,Test Trial,9.685112499981187,10.450948099954985,0.7658355999737978
106,12,24,,2,1,1,3,Test Trial,10.450937099987641,12.719159699976444,2.2682225999888033
106,12,24,,2,1,0,3,Test Trial,12.719173699966632,14.737964099971578,2.0187904000049457
106,12,24,,2,1,1,4,Test Trial,0,2.4176916000433266,2.4176916000433266
106,12,24,,2,1,0,4,Test Trial,2.417704400024377,2.7507214000215754,0.3330169999971986
106,12,24,,2,1,1,4,Test Trial,2.750716599985026,11.868447300046682,9.117730700061657
106,12,24,,2,1,0,4,Test Trial,11.868458700017072,13.869848800008185,2.001390099991113
106,12,24,,2,1,1,5,Test Trial,0,2.583579800091684,2.583579800091684
106,12,24,,2,1,0,5,Test Trial,2.5835938000818714,2.917427900014445,0.33383409993257374
106,12,24,,2,1,1,5,Test Trial,2.9174192000646144,10.099229800049216,7.181810599984601
106,12,24,,2,1,0,5,Test Trial,10.099237800110132,12.100485800066963,2.0012479999568313
106,12,24,,2,1,1,6,Test Trial,0,12.085441400064155,12.085441400064155
106,12,24,,2,1,0,6,Test Trial,12.085452800034545,12.76755560003221,0.682102799997665
106,12,24,,2,1,1,6,Test Trial,12.767552400007844,13.18563710001763,0.4180847000097856
106,12,24,,2,1,0,6,Test Trial,13.185647999984212,14.001943200011738,0.8162952000275254
106,12,24,,2,1,1,6,Test Trial,14.001935300067998,16.000830400036648,1.9988950999686494
106,12,24,,2,1,0,6,Test Trial,16.000835999962874,18.001399400061928,2.000563400099054
