snum,months,days,sex,cond,GNG,gazeOnOff,trial,trialType,startTime,endTime,duration
131,11,5,,3,1,1,1,Fam Trial,0,9.30667162500049,9.30667162500049
131,11,5,,3,1,0,1,Fam Trial,9.306675333000385,11.31498187499983,2.0083065419994455
131,11,5,,3,0,1,2,Fam Trial,0,3.589881249999962,3.589881249999962
131,11,5,,3,0,0,2,Fam Trial,3.589882999999645,5.53751899999952,1.947635999999875
131,11,5,,3,0,1,2,Fam Trial,5.537517249999837,5.995610041999498,0.45809279199966113
131,11,5,,3,0,0,2,Fam Trial,5.995612207999329,6.720628457999737,0.725016250000408
131,11,5,,3,0,1,2,Fam Trial,6.72062645799997,19.120536166999955,12.399909708999985
131,11,5,,3,0,0,2,Fam Trial,19.120538291999765,21.120571624999684,2.0000333329999194
131,11,5,,3,1,1,2,Fam Trial,0,3.6081374999994296,3.6081374999994296
131,11,5,,3,1,0,2,Fam Trial,3.6081395419996625,5.61127687499993,2.003137333000268
131,11,5,,3,1,1,3,Test Trial,0,9.021797458999572,9.021797458999572
131,11,5,,3,1,0,3,Test Trial,9.021799334000207,9.535914959000365,0.5141156250001586
131,11,5,,3,1,1,3,Test Trial,9.535913208999773,29.40918258399961,19.873269374999836
131,11,5,,3,1,0,3,Test Trial,29.409184584000286,30.001448084000003,0.5922634999997172
131,11,5,,3,1,1,4,Test Trial,0,9.120406791999812,9.120406791999812
131,11,5,,3,1,0,4,Test Trial,9.120408750000024,9.371321499999794,0.2509127499997703
131,11,5,,3,1,1,4,Test Trial,9.371319750000112,18.19534074999956,8.824020999999448
131,11,5,,3,1,0,4,Test Trial,18.195342916999834,20.203728749999755,2.0083858329999202
131,11,5,,3,1,1,5,Test Trial,0,0.7162994999998773,0.7162994999998773
131,11,5,,3,1,0,5,Test Trial,0.7163014579991795,1.536894707999636,0.8205932500004565
131,11,5,,3,1,1,5,Test Trial,1.536892957999953,3.011846332999994,1.474953375000041
131,11,5,,3,1,0,5,Test Trial,3.011848249999275,5.011877041999469,2.000028792000194
131,11,5,,3,1,1,6,Test Trial,0,2.9662503749996176,2.9662503749996176
131,11,5,,3,1,0,6,Test Trial,2.966252374999385,4.061619459000212,1.0953670840008272
131,11,5,,3,1,1,6,Test Trial,4.06161770899962,5.661625959000048,1.6000082500004282
131,11,5,,3,1,0,6,Test Trial,5.661627999999837,6.319976208999833,0.6583482089999961
131,11,5,,3,1,1,6,Test Trial,6.319974500000171,12.761563084000045,6.441588583999874
131,11,5,,3,1,0,6,Test Trial,12.76156516699939,13.044946500000151,0.2833813330007615
131,11,5,,3,1,1,6,Test Trial,13.04494454199994,14.099896042000182,1.054951500000243
131,11,5,,3,1,0,6,Test Trial,14.099897999999484,16.111523167000087,2.0116251670006022
