snum,months,days,sex,cond,GNG,gazeOnOff,trial,trialType,startTime,endTime,duration
124,12,20,,4,1,1,1,Fam Trial,0,1.6050630410318263,1.6050630410318263
124,12,20,,4,1,0,1,Fam Trial,1.6050649580429308,3.6132961660041474,2.0082312079612166
124,12,20,,4,1,1,2,Fam Trial,0,0.5861445000045933,0.5861445000045933
124,12,20,,4,1,0,2,Fam Trial,0.586146459041629,2.1829262500396,1.5967797909979708
124,12,20,,4,1,1,2,Fam Trial,2.182924459048081,8.606637084041722,6.423712624993641
124,12,20,,4,1,0,2,Fam Trial,8.606639125035144,10.365259292011615,1.7586201669764705
124,12,20,,4,1,1,2,Fam Trial,10.365257334022317,11.269576042017434,0.9043187079951167
124,12,20,,4,1,0,2,Fam Trial,11.269578292034566,13.279307875025552,2.0097295829909854
124,12,20,,4,1,1,3,Test Trial,0,2.2064907909953035,2.2064907909953035
124,12,20,,4,1,0,3,Test Trial,2.2064927499741316,4.099549791018944,1.8930570410448126
124,12,20,,4,1,1,3,Test Trial,4.099547832971439,6.295012957998551,2.1954651250271127
124,12,20,,4,1,0,3,Test Trial,6.295015249983408,8.295059832977131,2.0000445829937235
124,12,20,,4,1,1,4,Test Trial,0,3.817396083031781,3.817396083031781
124,12,20,,4,1,0,4,Test Trial,3.8173981250147335,5.821736292040441,2.0043381670257077
124,12,20,,4,1,1,5,Test Trial,0,1.6536368749802932,1.6536368749802932
124,12,20,,4,1,0,5,Test Trial,1.6536387919913977,2.007901499979198,0.35426270798780024
124,12,20,,4,1,1,5,Test Trial,2.0078997499658726,2.674495166982524,0.6665954170166515
124,12,20,,4,1,0,5,Test Trial,2.6745031669852324,4.678664083010517,2.0041609160252847
124,12,20,,4,1,1,6,Test Trial,0,0.6619089170126244,0.6619089170126244
124,12,20,,4,1,0,6,Test Trial,0.6619109169696458,0.9993588340003043,0.3374479170306586
124,12,20,,4,1,1,6,Test Trial,0.9993569999933243,10.745156624994706,9.745799625001382
124,12,20,,4,1,0,6,Test Trial,10.745158583973534,12.745411209005397,2.0002526250318624
