snum,months,days,sex,cond,GNG,gazeOnOff,trial,trialType,startTime,endTime,duration
137,10,20,,1,1,1,1,Fam Trial,0,3.4418026250004914,3.4418026250004914
137,10,20,,1,1,0,1,Fam Trial,3.441804707999836,4.361215375000029,0.9194106670001929
137,10,20,,1,1,1,1,Fam Trial,4.361213542000769,5.45378675000029,1.0925732079995214
137,10,20,,1,1,0,1,Fam Trial,5.453788832999635,6.728832082999361,1.275043249999726
137,10,20,,1,1,1,1,Fam Trial,6.728830333000587,12.070452542000567,5.341622208999979
137,10,20,,1,1,0,1,Fam Trial,12.070454624999911,14.074378792000061,2.00392416700015
137,10,20,,1,1,1,2,Fam Trial,0,8.900137582999378,8.900137582999378
137,10,20,,1,1,0,2,Fam Trial,8.900139583000055,9.662802875000125,0.7626632920000702
137,10,20,,1,1,1,2,Fam Trial,9.662801165999554,10.7377770410003,1.0749758750007459
137,10,20,,1,1,0,2,Fam Trial,10.737779125000088,11.737798874999498,1.0000197499994101
137,10,20,,1,1,1,2,Fam Trial,11.737797125000725,19.571044041000278,7.833246915999553
137,10,20,,1,1,0,2,Fam Trial,19.5710460829996,21.579420416001085,2.008374333001484
137,10,20,,1,1,1,3,Test Trial,0,4.462065125000663,4.462065125000663
137,10,20,,1,1,0,3,Test Trial,4.462067042000854,5.103812417000881,0.6417453750000277
137,10,20,,1,1,1,3,Test Trial,5.103810624999824,8.128728917001354,3.02491829200153
137,10,20,,1,1,0,3,Test Trial,8.128731042001164,8.528720292000799,0.3999892499996349
137,10,20,,1,1,1,3,Test Trial,8.52871849999974,12.603704082999684,4.074985582999943
137,10,20,,1,1,0,3,Test Trial,12.60370624999996,14.607591583000612,2.003885333000653
137,10,20,,1,1,1,4,Test Trial,0,3.754821583001103,3.754821583001103
137,10,20,,1,1,0,4,Test Trial,3.7548235000012937,5.375006625001333,1.6201831250000396
137,10,20,,1,1,1,4,Test Trial,5.375004916000762,6.97810895800103,1.6031040420002682
137,10,20,,1,1,0,4,Test Trial,6.978111000000354,8.813450083000134,1.8353390829997807
137,10,20,,1,1,1,4,Test Trial,8.81344833300136,9.838149500001236,1.0247011669998756
137,10,20,,1,1,0,4,Test Trial,9.83815125000001,11.838282541000808,2.0001312910007982
137,10,20,,1,1,1,5,Test Trial,0,4.408491582998977,4.408491582998977
137,10,20,,1,1,0,5,Test Trial,4.408493541999633,5.124970916998791,0.7164773749991582
137,10,20,,1,1,1,5,Test Trial,5.1249691670000175,6.466641791999791,1.3416726249997737
137,10,20,,1,1,0,5,Test Trial,6.466643791998649,7.416619333000199,0.9499755410015496
137,10,20,,1,1,1,5,Test Trial,7.416617625000072,11.420854750000217,4.004237125000145
137,10,20,,1,1,0,5,Test Trial,11.420856624999942,13.391576332998739,1.9707197079987964
137,10,20,,1,1,1,5,Test Trial,13.391574582999965,15.116570041998784,1.7249954589988192
137,10,20,,1,1,0,5,Test Trial,15.116572207998615,15.941529582998555,0.8249573749999399
137,10,20,,1,1,1,5,Test Trial,15.941527875000247,16.816550624998854,0.8750227499986067
137,10,20,,1,1,0,5,Test Trial,16.816552582999066,17.32279895799911,0.5062463750000461
137,10,20,,1,1,1,5,Test Trial,17.32279679199928,19.074934250000297,1.752137458001016
137,10,20,,1,1,0,5,Test Trial,19.074936541999705,21.07812958300019,2.003193041000486
137,10,20,,1,1,1,6,Test Trial,0,13.078829250000126,13.078829250000126
137,10,20,,1,1,0,6,Test Trial,13.078831292001269,14.100947124999948,1.0221158329986793
137,10,20,,1,1,1,6,Test Trial,14.100945292000688,14.712253125000643,0.6113078329999553
137,10,20,,1,1,0,6,Test Trial,14.712255166999967,16.69549329199981,1.9832381249998434
137,10,20,,1,1,1,6,Test Trial,16.695491124999535,19.937087292000797,3.241596167001262
137,10,20,,1,1,0,6,Test Trial,19.937089291999655,21.77627399999983,1.8391847080001753
137,10,20,,1,1,1,6,Test Trial,21.776271917000486,22.270423666999704,0.49415174999921874
137,10,20,,1,1,0,6,Test Trial,22.270425708000403,24.274757582999882,2.0043318749994796
