trialNum,trialType,event,time
1,Fam.FAM_SHOE.SHOE_FAM_MOV,startAttnGetter,0.02657309966161847
1,Fam.FAM_SHOE.SHOE_FAM_MOV,endAttnGetter,5.5089712999761105
1,Fam.FAM_SHOE.SHOE_FAM_MOV,startTrial,6.433471399825066
1,SHOE_FAM_MOV,startMoviePlayback,6.544522499665618
1,SHOE_FAM_MOV,endMoviePlayback,20.819640999659896
1,Fam.FAM_SHOE.SHOE_FAM_MOV,endTrial,20.81983139971271
2,Fam.FAM_SHOE.SHOE_FAM_STILL,startTrial,20.961551500018686
2,Fam.FAM_SHOE.SHOE_FAM_STILL,endTrial,51.05041559971869
3,Fam.FAM_DUCK.DUCK_FAM_MOV,startAttnGetter,52.212889599613845
3,Fam.FAM_DUCK.DUCK_FAM_MOV,endAttnGetter,57.62713539972901
3,Fam.FAM_DUCK.DUCK_FAM_MOV,startTrial,58.485293000005186
3,DUCK_FAM_MOV,startMoviePlayback,58.62812240002677
3,DUCK_FAM_MOV,endMoviePlayback,76.04251509997994
3,Fam.FAM_DUCK.DUCK_FAM_MOV,endTrial,76.0426977998577
4,Fam.FAM_DUCK.DUCK_FAM_STILL,startTrial,76.18665759963915
4,Fam.FAM_DUCK.DUCK_FAM_STILL,endTrial,106.27522049983963
5,Test.EXP_SHOE.EXP_SHOE_MOV,startAttnGetter,107.66801959974691
5,Test.EXP_SHOE.EXP_SHOE_MOV,endAttnGetter,113.21518379962072
5,Test.EXP_SHOE.EXP_SHOE_MOV,startTrial,114.0076093999669
5,EXP_SHOE_MOV,startMoviePlayback,114.13187449984252
5,EXP_SHOE_MOV,endMoviePlayback,126.15862050000578
5,Test.EXP_SHOE.EXP_SHOE_MOV,endTrial,126.15878479974344
6,Test.EXP_SHOE.EXP_SHOE_STILL,startTrial,126.28702639974654
6,Test.EXP_SHOE.EXP_SHOE_STILL,endTrial,156.3890368998982
7,Test.SUR_DUCK.SUR_DUCK_MOV,startAttnGetter,157.55094379978254
7,Test.SUR_DUCK.SUR_DUCK_MOV,endAttnGetter,163.20090789999813
7,Test.SUR_DUCK.SUR_DUCK_MOV,startTrial,164.09186929976568
7,SUR_DUCK_MOV,startMoviePlayback,164.22359589999542
7,SUR_DUCK_MOV,endMoviePlayback,177.64461409999058
7,Test.SUR_DUCK.SUR_DUCK_MOV,endTrial,177.644806899596
8,Test.SUR_DUCK.SUR_DUCK_STILL,startTrial,177.79012689972296
8,Test.SUR_DUCK.SUR_DUCK_STILL,endTrial,207.87573680002242
9,Test.EXP_SHOE.EXP_SHOE_MOV,startAttnGetter,209.33644649991766
9,Test.EXP_SHOE.EXP_SHOE_MOV,endAttnGetter,214.78338279994205
9,Test.EXP_SHOE.EXP_SHOE_MOV,startTrial,215.84274659957737
9,EXP_SHOE_MOV,startMoviePlayback,216.2515191999264
9,EXP_SHOE_MOV,endMoviePlayback,227.926930999849
9,Test.EXP_SHOE.EXP_SHOE_MOV,endTrial,227.92711059981957
10,Test.EXP_SHOE.EXP_SHOE_STILL,startTrial,228.06580149987713
10,Test.EXP_SHOE.EXP_SHOE_STILL,endTrial,258.15731369983405
11,Test.SUR_DUCK.SUR_DUCK_MOV,startAttnGetter,259.2860880997032
11,Test.SUR_DUCK.SUR_DUCK_MOV,endAttnGetter,270.40684589976445
11,Test.SUR_DUCK.SUR_DUCK_MOV,startTrial,271.098519699648
11,SUR_DUCK_MOV,startMoviePlayback,271.4763908996247
11,SUR_DUCK_MOV,endMoviePlayback,284.58326079975814
11,Test.SUR_DUCK.SUR_DUCK_MOV,endTrial,284.5834498000331
12,Test.SUR_DUCK.SUR_DUCK_STILL,startTrial,284.70588199980557
12,Test.SUR_DUCK.SUR_DUCK_STILL,endTrial,314.7810493996367
