trialNum,trialType,event,time
1,Fam.FAM_SHOE.SHOE_FAM_MOV,startAttnGetter,0.023335000034421682
1,Fam.FAM_SHOE.SHOE_FAM_MOV,endAttnGetter,5.475255199940875
1,Fam.FAM_SHOE.SHOE_FAM_MOV,startTrial,6.096267099957913
1,SHOE_FAM_MOV,startMoviePlayback,6.242617100011557
1,SHOE_FAM_MOV,endMoviePlayback,20.51438850001432
1,Fam.FAM_SHOE.SHOE_FAM_MOV,endTrial,20.51470179995522
2,Fam.FAM_SHOE.SHOE_FAM_STILL,startTrial,20.621773699996993
2,Fam.FAM_SHOE.SHOE_FAM_STILL,endTrial,34.62950049992651
3,Fam.FAM_DUCK.DUCK_FAM_MOV,startAttnGetter,35.79302019998431
3,Fam.FAM_DUCK.DUCK_FAM_MOV,endAttnGetter,41.14189759991132
3,Fam.FAM_DUCK.DUCK_FAM_MOV,startTrial,41.93236320000142
3,DUCK_FAM_MOV,startMoviePlayback,42.07203339994885
3,DUCK_FAM_MOV,endMoviePlayback,59.35299269994721
3,Fam.FAM_DUCK.DUCK_FAM_MOV,endTrial,59.353173499926925
4,Fam.FAM_DUCK.DUCK_FAM_STILL,startTrial,59.49099240009673
4,Fam.FAM_DUCK.DUCK_FAM_STILL,endTrial,70.10392479994334
5,Test.EXP_SHOE.EXP_SHOE_MOV,startAttnGetter,71.19490200001746
5,Test.EXP_SHOE.EXP_SHOE_MOV,endAttnGetter,76.64126479998231
5,Test.EXP_SHOE.EXP_SHOE_MOV,startTrial,77.36802350007929
5,EXP_SHOE_MOV,startMoviePlayback,77.48554720007814
5,EXP_SHOE_MOV,endMoviePlayback,89.58336489996873
5,Test.EXP_SHOE.EXP_SHOE_MOV,endTrial,89.58354240003973
6,Test.EXP_SHOE.EXP_SHOE_STILL,startTrial,89.70080929994583
6,Test.EXP_SHOE.EXP_SHOE_STILL,endTrial,102.9031845999416
7,Test.SUR_DUCK.SUR_DUCK_MOV,startAttnGetter,104.06143469992094
7,Test.SUR_DUCK.SUR_DUCK_MOV,endAttnGetter,114.54627919988707
7,Test.SUR_DUCK.SUR_DUCK_MOV,startTrial,115.50641099992208
7,SUR_DUCK_MOV,startMoviePlayback,115.63791100005619
7,SUR_DUCK_MOV,endMoviePlayback,128.95603600004688
7,Test.SUR_DUCK.SUR_DUCK_MOV,endTrial,128.9561930000782
8,Test.SUR_DUCK.SUR_DUCK_STILL,startTrial,129.08915330003947
8,Test.SUR_DUCK.SUR_DUCK_STILL,endTrial,159.1869387999177
9,Test.EXP_SHOE.EXP_SHOE_MOV,startAttnGetter,160.5514537000563
9,Test.EXP_SHOE.EXP_SHOE_MOV,endAttnGetter,166.20098399999551
9,Test.EXP_SHOE.EXP_SHOE_MOV,startTrial,166.95772100007161
9,EXP_SHOE_MOV,startMoviePlayback,167.1742561000865
9,EXP_SHOE_MOV,endMoviePlayback,179.14000459993258
9,Test.EXP_SHOE.EXP_SHOE_MOV,endTrial,179.14023589994758
10,Test.EXP_SHOE.EXP_SHOE_STILL,startTrial,179.26030540000647
10,Test.EXP_SHOE.EXP_SHOE_STILL,endTrial,184.9122460000217
11,Test.SUR_DUCK.SUR_DUCK_MOV,startAttnGetter,186.07648549997248
11,Test.SUR_DUCK.SUR_DUCK_MOV,endAttnGetter,191.6261589000933
11,Test.SUR_DUCK.SUR_DUCK_MOV,startTrial,192.38306990009733
11,SUR_DUCK_MOV,startMoviePlayback,192.6075784000568
11,SUR_DUCK_MOV,endMoviePlayback,205.90311559988186
11,Test.SUR_DUCK.SUR_DUCK_MOV,endTrial,205.90328569989651
12,Test.SUR_DUCK.SUR_DUCK_STILL,startTrial,206.02680899994448
12,Test.SUR_DUCK.SUR_DUCK_STILL,endTrial,230.25812230003066
