trialNum,trialType,event,time
1,Fam.FAM_SHOE.SHOE_FAM_MOV,startAttnGetter,0.024617299903184175
1,Fam.FAM_SHOE.SHOE_FAM_MOV,endAttnGetter,5.372109699994326
1,Fam.FAM_SHOE.SHOE_FAM_MOV,startTrial,6.664714899961837
1,SHOE_FAM_MOV,startMoviePlayback,6.787164999986999
1,SHOE_FAM_MOV,endMoviePlayback,21.086093499907292
1,Fam.FAM_SHOE.SHOE_FAM_MOV,endTrial,21.086301999981515
2,Fam.FAM_SHOE.SHOE_FAM_STILL,startTrial,21.198708499898203
2,Fam.FAM_SHOE.SHOE_FAM_STILL,endTrial,34.46447669994086
3,Fam.FAM_DUCK.DUCK_FAM_MOV,startAttnGetter,35.894336899975315
3,Fam.FAM_DUCK.DUCK_FAM_MOV,endAttnGetter,41.207895200001076
3,Fam.FAM_DUCK.DUCK_FAM_MOV,startTrial,42.100299699930474
3,DUCK_FAM_MOV,startMoviePlayback,42.21558650000952
3,DUCK_FAM_MOV,endMoviePlayback,59.422635399969295
3,Fam.FAM_DUCK.DUCK_FAM_MOV,endTrial,59.422801599954255
4,Fam.FAM_DUCK.DUCK_FAM_STILL,startTrial,59.53301329992246
4,Fam.FAM_DUCK.DUCK_FAM_STILL,endTrial,65.72997360001318
5,Test.EXP_SHOE.EXP_SHOE_MOV,startAttnGetter,67.3255635999376
5,Test.EXP_SHOE.EXP_SHOE_MOV,endAttnGetter,78.41385799995624
5,Test.EXP_SHOE.EXP_SHOE_MOV,startTrial,79.70477879990358
5,EXP_SHOE_MOV,startMoviePlayback,79.8354498000117
5,EXP_SHOE_MOV,endMoviePlayback,91.68863310001325
5,Test.EXP_SHOE.EXP_SHOE_MOV,endTrial,91.68881169997621
6,Test.EXP_SHOE.EXP_SHOE_STILL,startTrial,91.81762779993005
6,Test.EXP_SHOE.EXP_SHOE_STILL,endTrial,112.24241690000053
7,Test.SUR_DUCK.SUR_DUCK_MOV,startAttnGetter,113.57168559997808
7,Test.SUR_DUCK.SUR_DUCK_MOV,endAttnGetter,124.09210509993136
7,Test.SUR_DUCK.SUR_DUCK_MOV,startTrial,124.71622069994919
7,SUR_DUCK_MOV,startMoviePlayback,124.8263552999124
7,SUR_DUCK_MOV,endMoviePlayback,138.16851280000992
7,Test.SUR_DUCK.SUR_DUCK_MOV,endTrial,138.1686808000086
8,Test.SUR_DUCK.SUR_DUCK_STILL,startTrial,138.28553569992073
8,Test.SUR_DUCK.SUR_DUCK_STILL,endTrial,159.69014039996546
9,Test.EXP_SHOE.EXP_SHOE_MOV,startAttnGetter,161.55303459998686
9,Test.EXP_SHOE.EXP_SHOE_MOV,endAttnGetter,167.1673728999449
9,Test.EXP_SHOE.EXP_SHOE_MOV,startTrial,167.85947709996253
9,EXP_SHOE_MOV,startMoviePlayback,168.1318171999883
9,EXP_SHOE_MOV,endMoviePlayback,180.14723969995975
9,Test.EXP_SHOE.EXP_SHOE_MOV,endTrial,180.14740419993177
10,Test.EXP_SHOE.EXP_SHOE_STILL,startTrial,180.28282339998987
10,Test.EXP_SHOE.EXP_SHOE_STILL,endTrial,207.7712726999307
11,Test.SUR_DUCK.SUR_DUCK_MOV,startAttnGetter,208.4999163999455
11,Test.SUR_DUCK.SUR_DUCK_MOV,endAttnGetter,213.98206259997096
11,Test.SUR_DUCK.SUR_DUCK_MOV,startTrial,215.17363969993312
11,SUR_DUCK_MOV,startMoviePlayback,215.4505508999573
11,SUR_DUCK_MOV,endMoviePlayback,228.65872379997745
11,Test.SUR_DUCK.SUR_DUCK_MOV,endTrial,228.65886460000183
12,Test.SUR_DUCK.SUR_DUCK_STILL,startTrial,228.7681001999881
12,Test.SUR_DUCK.SUR_DUCK_STILL,endTrial,238.16805879992899
