trialNum,trialType,event,time
1,Fam.FAM_DUCK.DUCK_FAM_MOV,startAttnGetter,0.02484639990143478
1,Fam.FAM_DUCK.DUCK_FAM_MOV,endAttnGetter,5.473406699951738
1,Fam.FAM_DUCK.DUCK_FAM_MOV,startTrial,6.298573900014162
1,DUCK_FAM_MOV,startMoviePlayback,6.424761899979785
1,DUCK_FAM_MOV,endMoviePlayback,23.58568160003051
1,Fam.FAM_DUCK.DUCK_FAM_MOV,endTrial,23.585848900023848
2,Fam.FAM_DUCK.DUCK_FAM_STILL,startTrial,23.708439100068063
2,Fam.FAM_DUCK.DUCK_FAM_STILL,endTrial,53.78319799993187
3,Fam.FAM_SHOE.SHOE_FAM_MOV,startAttnGetter,54.88075969996862
3,Fam.FAM_SHOE.SHOE_FAM_MOV,endAttnGetter,60.22888970002532
3,Fam.FAM_SHOE.SHOE_FAM_MOV,startTrial,60.92010180000216
3,SHOE_FAM_MOV,startMoviePlayback,61.04980210005306
3,SHOE_FAM_MOV,endMoviePlayback,75.3708331999369
3,Fam.FAM_SHOE.SHOE_FAM_MOV,endTrial,75.37113419990055
4,Fam.FAM_SHOE.SHOE_FAM_STILL,startTrial,75.49767549987882
4,Fam.FAM_SHOE.SHOE_FAM_STILL,endTrial,105.60158529994078
5,Test.SUR_DUCK.SUR_DUCK_MOV,startAttnGetter,106.53181679989211
5,Test.SUR_DUCK.SUR_DUCK_MOV,endAttnGetter,112.04596289992332
5,Test.SUR_DUCK.SUR_DUCK_MOV,startTrial,112.93804299994372
5,SUR_DUCK_MOV,startMoviePlayback,113.05508239986375
5,SUR_DUCK_MOV,endMoviePlayback,126.28866449999623
5,Test.SUR_DUCK.SUR_DUCK_MOV,endTrial,126.28888919996098
6,Test.SUR_DUCK.SUR_DUCK_STILL,startTrial,126.40380269987509
6,Test.SUR_DUCK.SUR_DUCK_STILL,endTrial,156.48568490007892
7,Test.EXP_SHOE.EXP_SHOE_MOV,startAttnGetter,157.54972840007395
7,Test.EXP_SHOE.EXP_SHOE_MOV,endAttnGetter,163.23114400007762
7,Test.EXP_SHOE.EXP_SHOE_MOV,startTrial,163.9898609998636
7,EXP_SHOE_MOV,startMoviePlayback,164.10760069987737
7,EXP_SHOE_MOV,endMoviePlayback,176.07152349990793
7,Test.EXP_SHOE.EXP_SHOE_MOV,endTrial,176.07170019997284
8,Test.EXP_SHOE.EXP_SHOE_STILL,startTrial,176.1922607999295
8,Test.EXP_SHOE.EXP_SHOE_STILL,endTrial,197.39910739986226
9,Test.SUR_DUCK.SUR_DUCK_MOV,startAttnGetter,198.69114709994756
9,Test.SUR_DUCK.SUR_DUCK_MOV,endAttnGetter,209.84332089987583
9,Test.SUR_DUCK.SUR_DUCK_MOV,startTrial,210.5694502000697
9,SUR_DUCK_MOV,startMoviePlayback,210.82346230000257
9,SUR_DUCK_MOV,endMoviePlayback,223.98620789987035
9,Test.SUR_DUCK.SUR_DUCK_MOV,endTrial,223.98636469990015
10,Test.SUR_DUCK.SUR_DUCK_STILL,startTrial,224.10597270005383
10,Test.SUR_DUCK.SUR_DUCK_STILL,endTrial,229.8337558999192
11,Test.EXP_SHOE.EXP_SHOE_MOV,startAttnGetter,230.8234828999266
11,Test.EXP_SHOE.EXP_SHOE_MOV,endAttnGetter,241.3090846000705
11,Test.EXP_SHOE.EXP_SHOE_MOV,startTrial,242.63476859987713
11,EXP_SHOE_MOV,startMoviePlayback,242.90520929987542
11,EXP_SHOE_MOV,endMoviePlayback,254.85032769991085
11,Test.EXP_SHOE.EXP_SHOE_MOV,endTrial,254.85060640005395
12,Test.EXP_SHOE.EXP_SHOE_STILL,startTrial,254.95711459987797
12,Test.EXP_SHOE.EXP_SHOE_STILL,endTrial,273.10223009996116
