trialNum,trialType,event,time
1,Fam.FAM_DUCK.DUCK_FAM_MOV,startAttnGetter,0.022804100066423416
1,Fam.FAM_DUCK.DUCK_FAM_MOV,endAttnGetter,3.3593456000089645
1,Fam.FAM_DUCK.DUCK_FAM_MOV,startTrial,4.594297300092876
1,DUCK_FAM_MOV,startMoviePlayback,4.73178070015274
1,DUCK_FAM_MOV,endMoviePlayback,21.981874500168487
1,Fam.FAM_DUCK.DUCK_FAM_MOV,endTrial,21.982097200118005
2,Fam.FAM_DUCK.DUCK_FAM_STILL,startTrial,22.11986010009423
2,Fam.FAM_DUCK.DUCK_FAM_STILL,endTrial,36.864242600044236
3,Fam.FAM_SHOE.SHOE_FAM_MOV,startAttnGetter,38.46165450010449
3,Fam.FAM_SHOE.SHOE_FAM_MOV,endAttnGetter,41.778170000063255
3,Fam.FAM_SHOE.SHOE_FAM_MOV,startTrial,43.20032840012573
3,SHOE_FAM_MOV,startMoviePlayback,43.33517520013265
3,SHOE_FAM_MOV,endMoviePlayback,57.58433740003966
3,Fam.FAM_SHOE.SHOE_FAM_MOV,endTrial,57.58455500006676
4,Fam.FAM_SHOE.SHOE_FAM_STILL,startTrial,57.71540920017287
4,Fam.FAM_SHOE.SHOE_FAM_STILL,endTrial,79.33955130004324
5,Test.EXP_DUCK.EXP_DUCK_MOV,startAttnGetter,80.10475160018541
5,Test.EXP_DUCK.EXP_DUCK_MOV,endAttnGetter,83.37248110002838
5,Test.EXP_DUCK.EXP_DUCK_MOV,startTrial,84.67462190007791
5,EXP_DUCK_MOV,startMoviePlayback,84.80128680006601
5,EXP_DUCK_MOV,endMoviePlayback,97.95838190009817
5,Test.EXP_DUCK.EXP_DUCK_MOV,endTrial,97.95857800007798
6,Test.EXP_DUCK.EXP_DUCK_STILL,startTrial,98.08617670019157
6,Test.EXP_DUCK.EXP_DUCK_STILL,endTrial,128.1890726001002
7,Test.SUR_SHOE.SUR_SHOE_MOV,startAttnGetter,129.9196329000406
7,Test.SUR_SHOE.SUR_SHOE_MOV,endAttnGetter,133.4653980000876
7,Test.SUR_SHOE.SUR_SHOE_MOV,startTrial,134.85790260019712
7,SUR_SHOE_MOV,startMoviePlayback,134.97854380006902
7,SUR_SHOE_MOV,endMoviePlayback,148.07601080019958
7,Test.SUR_SHOE.SUR_SHOE_MOV,endTrial,148.07627750001848
8,Test.SUR_SHOE.SUR_SHOE_STILL,startTrial,148.19168630009517
8,Test.SUR_SHOE.SUR_SHOE_STILL,endTrial,178.27261540014297
9,Test.EXP_DUCK.EXP_DUCK_MOV,startAttnGetter,180.27018600003794
9,Test.EXP_DUCK.EXP_DUCK_MOV,endAttnGetter,183.70690340013243
9,Test.EXP_DUCK.EXP_DUCK_MOV,startTrial,184.90855230018497
9,EXP_DUCK_MOV,startMoviePlayback,185.31943560019135
9,EXP_DUCK_MOV,endMoviePlayback,198.4253562001977
9,Test.EXP_DUCK.EXP_DUCK_MOV,endTrial,198.42552170017734
10,Test.EXP_DUCK.EXP_DUCK_STILL,startTrial,198.55874810018577
10,Test.EXP_DUCK.EXP_DUCK_STILL,endTrial,208.7722373001743
11,Test.SUR_SHOE.SUR_SHOE_MOV,startAttnGetter,210.4005060000345
11,Test.SUR_SHOE.SUR_SHOE_MOV,endAttnGetter,213.37836960004643
11,Test.SUR_SHOE.SUR_SHOE_MOV,startTrial,214.6044675000012
11,SUR_SHOE_MOV,startMoviePlayback,214.88096760003828
11,SUR_SHOE_MOV,endMoviePlayback,228.02261850005016
11,Test.SUR_SHOE.SUR_SHOE_MOV,endTrial,228.02293710014783
12,Test.SUR_SHOE.SUR_SHOE_STILL,startTrial,228.1619645000901
12,Test.SUR_SHOE.SUR_SHOE_STILL,endTrial,258.2560291001573
