cutoff,start,end,startT,endT,dur,xpos,ypos,flankdataloss,fracinterped,RMSxy,BCEA,fixRangeX,fixRangeY,participant,trial_num,phase,trial_type
1.0401384079101272,382,470,789.6,1145.6,355.9999999999999,1344.5,472.0,0.0,0.0,0.26400384009439,0.2638447593932082,1.0285275236383846,1.2038447151676548,120_leap_voe_gaze,1.0,attn_getter,fam_shoe_1
1.0401384079101272,479,975,1177.6,3165.6,1988.0,972.0,472.5,0.0,0.0,0.3279829742347315,0.558545396104384,1.636293787606521,1.7064206642182291,120_leap_voe_gaze,1.0,attn_getter,fam_shoe_1
1.0401384079101272,982,1196,3189.6,4049.5,859.9000000000001,786.0,447.0,0.0,0.0,0.3531775455195889,0.4247333079619051,1.2505959662421269,1.6947328514496112,120_leap_voe_gaze,1.0,attn_getter,fam_shoe_1
1.0401384079101272,1250,1493,4261.5,5237.5,976.0,835.0,421.5,0.0,0.0,0.2693440777326031,0.3182387720332877,0.9233372087208226,1.7414841025240833,120_leap_voe_gaze,1.0,attn_getter,fam_shoe_1
1.0401384079101272,1499,1713,5257.5,6117.5,860.0,946.0,572.0,0.0,0.0,0.4524519388575253,0.4930653349861107,1.519415659920341,1.4843522216144869,120_leap_voe_gaze,,inter_trial,
1.0401384079101272,1720,1879,6141.5,6781.5,640.0,1002.0,716.0,0.0,0.06875,1.0804772094417772,2.1807544668836867,3.5063438305854024,3.8336025881067064,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,1885,2053,6801.5,7477.5,676.0,938.0,738.25,1.0,0.1715976331360946,1.275841999475238,2.9011955022086413,3.7167244604205263,3.34271445182475,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,2068,2188,7533.5,8017.5,484.0,336.5,353.0,0.0,0.0,0.4314344118321686,0.9456598030013932,1.6830450386809932,1.799923166367173,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,2194,2468,8037.5,9137.5,1100.0,247.5,436.0,0.0,0.0,0.4507393780415527,0.4342937028517863,1.1220300257873288,1.8232987919044092,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,2476,2543,9165.5,9437.5,272.0,273.0,245.25,0.0,0.0,0.4969090214725591,0.373836470113602,0.7246443916543165,1.577854723763431,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,2554,2654,9477.5,9881.5,404.0,510.75,537.25,0.0,0.0099009900990099,0.7775994977448534,0.9681222860900878,1.7765475408299372,3.1089581964523902,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,2666,2743,9925.5,10237.5,312.0,316.0,817.0,1.0,0.5512820512820513,4.075242715381166,26.895255340910293,7.620453925138941,8.555478946628382,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,2755,2813,10281.5,10517.5,236.0,338.0,985.0,0.0,0.1694915254237288,1.4783747528084965,4.044544031646315,2.477816306947018,4.441368852074843,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,2823,2920,10553.5,10945.5,392.0,559.5,504.0,0.0,0.010204081632653,0.6592415011622768,0.7719717376930131,1.2505959662421269,3.436216953973694,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,2929,3013,10977.5,11317.5,340.0,599.5,216.5,0.0,0.0,0.2603717871216625,0.2162704436677296,0.6778931405798444,1.1921569023990368,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,3021,3113,11345.5,11717.5,372.0,521.0,357.5,0.0,0.0,0.4314435894082901,0.4862049161938903,0.9467128342580586,1.647981600375139,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,3116,3255,11725.5,12285.5,560.0,469.0,400.75,0.0,0.0,0.3902699161826531,0.3547557209821436,0.8298347065718785,1.601230349300667,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,3259,3466,12297.5,13129.5,832.0,507.0,391.75,0.0,0.0,0.6017486955217992,0.8340882021170588,1.799923166367173,2.2791234898805115,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,3474,3519,13157.5,13341.5,184.0,736.0,544.0,0.0,0.2391304347826087,1.1107087807415952,2.085172635014468,2.0336794217395333,2.477816306947018,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,3532,3584,13389.5,13601.5,212.0,432.5,379.5,0.0,0.0,0.4716049998863956,0.4566327122345859,0.8298347065718785,1.8466744174416452,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,3590,3736,13621.5,14209.5,588.0,503.0,399.0,0.0,0.0,0.5165094538932286,0.4729153802748727,1.005151898101149,1.9168012940533532,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,3751,3869,14265.5,14741.5,476.0,1302.0,395.25,0.0,0.042016806722689,1.2397136163148557,2.76114957912243,4.067358843479067,5.773779507697296,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,3881,3939,14785.5,15021.5,236.0,407.5,359.0,0.0,0.0,0.4779700001325573,0.4761899558428886,0.9700884597952948,1.531103472688959,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,3944,4073,15037.5,15557.5,520.0,490.75,389.75,0.0,0.0,0.7010694107414287,0.8541407219882248,1.238908153473509,2.1973088005001853,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,4081,4173,15585.5,15957.5,372.0,295.5,194.5,0.0,0.021505376344086,0.7956594676176162,1.1848741662845066,1.9168012940533532,3.4011535156678403,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,4179,4313,15977.5,16517.5,540.0,420.75,224.5,0.0,0.0074074074074074,0.8682515312053852,1.3466657374661268,2.3141869281863654,2.6881969367821417,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,4319,4459,16537.5,17101.5,564.0,420.0,354.0,0.0,0.1134751773049645,0.9332064145839356,1.527560252499309,2.1973088005001853,3.8569782136439423,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,4471,4605,17145.5,17685.5,540.0,540.0,400.0,1.0,0.5555555555555556,1.2372212628166577,3.37096132628667,4.067358843479067,5.797155133234532,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,4679,4730,17977.5,18185.5,208.0,578.0,421.0,1.0,0.5192307692307693,1.4793351859951906,2.743542283553877,1.718108476986847,3.45959257951093,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,4738,4883,18213.5,18797.5,584.0,642.0,366.0,1.0,0.184931506849315,1.0457817020382632,2.637082254411117,2.93364100492312,3.821914775338088,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,4886,4921,18805.5,18949.5,144.0,708.0,419.0,1.0,0.4722222222222222,1.361818283126839,2.8747944944651147,2.4544406814097814,2.8284506900055577,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,5097,5254,19649.5,20281.4,631.9000000000015,736.5,435.0,1.0,0.3417721518987341,1.8379189767920696,3.22495757020752,2.5596309963273436,6.007535763069656,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,5262,5296,20309.4,20449.4,140.0,795.0,452.5,1.0,0.3142857142857143,1.071592792408301,1.462048522925664,1.425913157771397,2.17393317496295,120_leap_voe_gaze,1.0,movie,fam_shoe_1
1.0401384079101272,5378,5500,20773.4,21265.4,492.0,840.5,467.5,1.0,0.3008130081300813,1.1002665595490853,1.6378601458438746,2.0570550472767692,2.770011626162468,120_leap_voe_gaze,2.0,still,fam_shoe_1
1.0401384079101272,5510,5559,21301.4,21501.4,200.0,493.99999999999994,275.0,0.0,0.02,0.6932151254300065,1.2427399936249175,1.589542536532049,2.4544406814097814,120_leap_voe_gaze,2.0,still,fam_shoe_1
1.0401384079101272,5566,5682,21525.4,21993.4,468.0,895.0,407.5,0.0,0.3162393162393162,1.5430732888362977,3.447743984844034,4.207612596702483,3.7868513370322345,120_leap_voe_gaze,2.0,still,fam_shoe_1
1.0401384079101272,5734,5780,22197.4,22385.4,188.0,1069.5,73.5,1.0,0.3617021276595745,1.0313570407415256,1.8984437162019396,2.75832381339385,2.6648213112449057,120_leap_voe_gaze,2.0,still,fam_shoe_1
1.0401384079101272,5782,5808,22389.4,22497.4,108.0,1075.0,-6.0,1.0,0.2592592592592592,0.9654808475375978,0.8963714332417229,1.7765475408299372,1.870050042978881,120_leap_voe_gaze,2.0,still,fam_shoe_1
1.0401384079101272,5815,5833,22521.4,22597.4,76.0,1110.0,-31.0,1.0,0.3157894736842105,1.1601294929721624,1.3760281756949342,2.17393317496295,1.472664408845869,120_leap_voe_gaze,2.0,still,fam_shoe_1
