Recording date:	2026/05/17
Recording time:	12:44:18
Recording resolution:	1920 x 1080
PsychoPy units:	pix
Session Start
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight	PupilSize
-741.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-737.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-733.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-729.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-725.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-721.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-717.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-713.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-709.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-705.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-701.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-697.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-693.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-689.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-685.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-681.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-677.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-673.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-669.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-665.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-661.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-657.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-653.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-649.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-645.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-641.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-637.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-633.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-629.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-625.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-621.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-617.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-613.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-609.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-605.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-601.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-597.4	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
